#mjd,filter,propid,dmag,mag
57792.3864667,ip,KEY2014A-003,0.0225051075989,17.743192635668983
57792.3846184,ip,KEY2014A-003,0.0196601324213,17.76323614830129
57792.3825781,rp,KEY2014A-003,0.171516437294,20.245715313793973
57792.3807017,rp,KEY2014A-003,0.0179170073513,17.942731712225967
57792.3777784,gp,KEY2014A-003,0.0155838505542,18.355917009255876
57792.3750097,gp,KEY2014A-003,0.0173529077778,18.353237370860302
57792.3729839,V,KEY2014A-003,0.0240219772231,18.138978452895053
57792.3711244,V,KEY2014A-003,0.0257565572655,18.167905731025744
57792.3681977,B,KEY2014A-003,0.0223175410124,18.786294740837626
57792.3654236,B,KEY2014A-003,0.0239648874123,18.78720465775842
57792.73186,ip,KEY2014A-003,0.0255294351036,18.263812543743388
57792.7300051,ip,KEY2014A-003,0.0966841528893,18.94857723717498
57792.727986,rp,KEY2014A-003,0.137773091787,19.37551403615363
57792.7261347,rp,KEY2014A-003,0.0255302030403,18.01693931011527
57792.7231895,gp,KEY2014A-003,0.0535191394456,17.313372252574894
57792.7204038,gp,KEY2014A-003,0.053274390095,17.316849917275334
57792.825334,V,KEY2014A-003,0.0271018054585,17.339763687497566
57792.8234747,V,KEY2014A-003,0.0340446256901,17.393528525309527
57792.8205083,B,KEY2014A-003,0.0233730480779,17.452697991926733
57792.817726,B,KEY2014A-003,0.0251577352396,17.45847350320061
57793.0789298,V,KEY2014A-003,0.0252312066272,17.148956361869306
57793.0770821,V,KEY2014A-003,0.0271163026785,17.17329077086733
57793.0741112,B,KEY2014A-003,0.0215002036954,17.22556141558416
57793.0713354,B,KEY2014A-003,0.0207469698209,17.274887994629704
57793.3659317,V,KEY2014A-003,0.0212187698166,17.073112122964357
57793.3640819,V,KEY2014A-003,0.0212187698166,17.07420033688911
57793.3610967,B,KEY2014A-003,0.0210537128326,17.6598437281901
57793.3583236,B,KEY2014A-003,0.0210537128326,17.663322844809905
57793.1322337,ip,KEY2014A-003,0.0179235447864,17.179077676271554
57793.1303857,ip,KEY2014A-003,0.0197971465912,17.181045466071357
57793.1283934,rp,KEY2014A-003,0.0141696504728,17.04852022601189
57793.1265413,rp,KEY2014A-003,0.0151407834341,17.070126468053516
57793.12362,gp,KEY2014A-003,0.0182331465572,16.505770017773926
57793.1208432,gp,KEY2014A-003,0.018944585354,16.502947160018152
57793.3593546,ip,KEY2014A-003,0.0133085161161,16.980330406973238
57793.3575063,ip,KEY2014A-003,0.0133085161161,16.978529730164517
57793.3555058,rp,KEY2014A-003,0.0122546213281,16.859173817310207
57793.3536406,rp,KEY2014A-003,0.0122546213281,16.82484920905649
57793.3507288,gp,KEY2014A-003,0.016967639861,16.220744738184898
57793.3479494,gp,KEY2014A-003,0.016967639861,16.21024550985313
57793.9691627,V,KEY2014A-003,0.0264997422978,16.147900607180116
57793.9673046,V,KEY2014A-003,0.0264997422978,16.136382759952554
57793.9643435,B,KEY2014A-003,0.0244568940189,16.811008239839683
57793.9615576,B,KEY2014A-003,0.0255246919539,16.76460859691295
57793.8750296,ip,KEY2014A-003,0.0138995609596,16.54433144681863
57793.8731731,ip,KEY2014A-003,0.0129649560117,16.51329464653122
57793.8710853,rp,KEY2014A-003,0.0108512024093,16.45888753921705
57793.869229,rp,KEY2014A-003,0.0118274052892,16.485161772398417
57793.8662417,gp,KEY2014A-003,0.050522705504,16.452042255144033
57793.8634479,gp,KEY2014A-003,0.051038183985,16.470125503045267
57794.2876247,V,KEY2014A-003,0.0235418052571,15.96696749799802
57794.2857742,V,KEY2014A-003,0.0239530160535,15.958279208794057
57794.2828404,B,KEY2014A-003,0.0235030583105,17.078378157946613
57794.2800505,B,KEY2014A-003,0.0235030583105,17.078260503740673
57794.1671412,ip,KEY2014A-003,0.0111109925133,16.486470500370665
57794.1652876,ip,KEY2014A-003,0.0120350406856,16.4869590620892
57794.163291,rp,KEY2014A-003,0.0118274052892,16.24572213724678
57794.1614418,rp,KEY2014A-003,0.0118274052892,16.244033205690783
57794.1585144,gp,KEY2014A-003,0.049936432209,15.921991881046338
57794.1557436,gp,KEY2014A-003,0.0497920710272,15.933707182386831
57794.1419722,gp,KEY2014A-003,0.0501065046576,15.940085920987656
57794.45762,ip,KEY2014A-003,0.127648837181,13.965011060814664
57794.4557705,ip,KEY2014A-003,0.127648837181,13.97471961437882
57794.4537367,rp,KEY2014A-003,0.131708173812,13.807501428599796
57794.4518866,rp,KEY2014A-003,0.131564382424,13.81054109706721
57794.4489572,gp,KEY2014A-003,0.065762711677,16.22363752496017
57794.4461773,gp,KEY2014A-003,0.0661009221957,16.271054901756727
57794.7454355,V,KEY2014A-003,0.0330254827473,16.249225373275248
57794.7435674,V,KEY2014A-003,0.0333506930035,16.252455939168318
57794.7406275,B,KEY2014A-003,0.0328202868252,16.042395979960396
57794.7378475,B,KEY2014A-003,0.0324552804616,16.03083126601188
57794.7310128,ip,KEY2014A-003,0.128080578479,14.290340156741347
57794.7291534,ip,KEY2014A-003,0.135387926506,15.002955218044807
57794.7271416,rp,KEY2014A-003,0.131983336098,14.047984923915479
57794.7252745,rp,KEY2014A-003,0.131632303486,13.911015667165675
57794.7223429,gp,KEY2014A-003,0.065762711677,16.31445356094379
57794.7195644,gp,KEY2014A-003,0.0661009221957,16.44041402220452
57794.481018,V,KEY2014A-003,0.0344871329931,16.503023955770296
57794.4791572,V,KEY2014A-003,0.0349166417985,16.487098444166335
57794.4762111,B,KEY2014A-003,0.0324552804616,16.212257952617822
57794.4734136,B,KEY2014A-003,0.0324552804616,16.22574743228515
57795.3428617,ip,KEY2014A-003,0.127648837181,13.636520667382893
57795.3410111,ip,KEY2014A-003,0.127405339761,13.657881120285134
57795.3390222,rp,KEY2014A-003,0.131564382424,13.586981115569246
57795.337172,rp,KEY2014A-003,0.131504422942,13.592194639646639
57795.3342373,gp,KEY2014A-003,0.0656212761643,16.23348746906351
57795.3314602,gp,KEY2014A-003,0.0656212761643,16.24629081545748
57795.2958198,V,KEY2014A-003,0.0330254827473,15.994189001885147
57795.29397,V,KEY2014A-003,0.0333506930035,15.980504391603958
57795.2910271,B,KEY2014A-003,0.0308288326223,15.5437237582099
57795.2882495,B,KEY2014A-003,0.0306583346249,15.533717095425128
57795.4550874,ip,KEY2014A-003,0.0113627953545,15.873160752
57795.4532328,ip,KEY2014A-003,0.0104682806134,15.835914774874134
